ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
,See by Chloé,mini Joan crossbody bag,$277,One Size,https://cdn-images.farfetch-contents.com/13/58/57/91/13585791_21991730_480.jpg,-0%,$277
New Season,See by Chloé, Mara crossbody bag,$470,One Size,https://cdn-images.farfetch-contents.com/14/47/89/71/14478971_24802830_480.jpg,-0%,$470
,Givenchy,small 4G crossbody bag,"$1,985",One Size,https://cdn-images.farfetch-contents.com/16/98/82/28/16988228_36698896_480.jpg,-0%,"$1,985"
,Jacquemus,Le Chiquito mini top-handle bag,$550,One Size,https://cdn-images.farfetch-contents.com/16/24/72/99/16247299_31151224_480.jpg,-0%,$550
,Maison Margiela,Snatched shoulder bag,"$1,740",One Size,https://cdn-images.farfetch-contents.com/16/89/59/70/16895970_34234735_480.jpg,-0%,"$1,740"
,Jacquemus,mini Le Chiquito leather bag,$485,One Size,https://cdn-images.farfetch-contents.com/17/17/55/01/17175501_34847348_480.jpg,-0%,$485
,Tory Burch,Kira logo-plaque crossbody bag,$495,One Size,https://cdn-images.farfetch-contents.com/17/19/89/45/17198945_38178711_480.jpg,-0%,$495
New Season,EÉRA,large Moon canvas shoulder bag,"$1,525",One Size,https://cdn-images.farfetch-contents.com/17/37/54/34/17375434_36357224_480.jpg,-0%,"$1,525"
,Tory Burch,mini Fleming soft convertible bag,$532,One Size,https://cdn-images.farfetch-contents.com/16/26/04/98/16260498_31055286_480.jpg,-0%,$532
,Givenchy,4G vertical mini bag,"$1,060",One Size,https://cdn-images.farfetch-contents.com/16/98/72/02/16987202_36699577_480.jpg,-0%,"$1,060"
,See by Chloé,Hana crossbody bag,$280,One Size,https://cdn-images.farfetch-contents.com/16/24/52/43/16245243_31016327_480.jpg,-0%,$280
Positively Conscious,Stella McCartney,small Falabella crossbody bag,$460,One Size,https://cdn-images.farfetch-contents.com/14/57/44/95/14574495_30560412_480.jpg,-0%,$460
,BY FAR,Miranda shoulder bag,$540,One Size,https://cdn-images.farfetch-contents.com/16/26/64/40/16266440_31185853_480.jpg,-0%,$540
,Marc Jacobs,mini The Tote bag,$175,One Size,https://cdn-images.farfetch-contents.com/15/71/79/84/15717984_37649133_480.jpg,-0%,$175
,Versace,Medusa plaque satchel bag,"$1,275",One Size,https://cdn-images.farfetch-contents.com/16/36/10/19/16361019_31602818_480.jpg,-0%,"$1,275"
New Season,Givenchy,x Chito small 4G bag,"$1,750",One Size,https://cdn-images.farfetch-contents.com/17/71/41/43/17714143_37239412_480.jpg,-0%,"$1,750"
,BY FAR,small Amber shoulder bag,$350,One Size,https://cdn-images.farfetch-contents.com/15/26/65/85/15266585_37517765_480.jpg,-0%,$350
,Marc Jacobs,The Snapshot leather crossbody bag,$325,One Size,https://cdn-images.farfetch-contents.com/16/81/74/11/16817411_34319232_480.jpg,-0%,$325
,See by Chloé,Joan crossbody bag,$275,One Size,https://cdn-images.farfetch-contents.com/15/27/75/09/15277509_28395053_480.jpg,-0%,$275
New Season,Marc Jacobs,mini The Tote bag,$175,One Size,https://cdn-images.farfetch-contents.com/17/78/96/98/17789698_37946603_480.jpg,-0%,$175
,Dolce & Gabbana,large Beatrice leather tote bag ,"$2,445",One Size,https://cdn-images.farfetch-contents.com/16/66/00/11/16660011_33537997_480.jpg,-0%,"$2,445"
,Bottega Veneta,Chain leather tote bag,"$3,700",One Size,https://cdn-images.farfetch-contents.com/16/80/05/41/16800541_34312862_480.jpg,-0%,"$3,700"
,Off-White,Diag-stripe shoulder bag,"$1,250",One Size,https://cdn-images.farfetch-contents.com/16/71/00/44/16710044_37988064_480.jpg,-0%,"$1,250"
,Balmain,B-Army shopper tote bag,"$1,000",One Size,https://cdn-images.farfetch-contents.com/17/00/01/36/17000136_34146612_480.jpg,-0%,"$1,000"
,Chloé,mini Marcie crossbody bag,$990,One Size,https://cdn-images.farfetch-contents.com/15/18/66/40/15186640_28039879_480.jpg,-0%,$990
New Season,STAUD,Tommy beaded shoulder bag,$250,One Size,https://cdn-images.farfetch-contents.com/17/73/83/33/17738333_38210985_480.jpg,-0%,$250
New Season,Rains,logo-embossed foldover backpack,$125,One Size,https://cdn-images.farfetch-contents.com/17/67/19/07/17671907_37789091_480.jpg,-0%,$125
New Season,Bottega Veneta,The Mini Pouch bag,"$2,000",One Size,https://cdn-images.farfetch-contents.com/17/66/07/76/17660776_38179266_480.jpg,-0%,"$2,000"
New Season,TOM FORD,logo-plaque leather mini bag,"$1,490",One Size,https://cdn-images.farfetch-contents.com/17/39/27/12/17392712_36939751_480.jpg,-0%,"$1,490"
,Marc Jacobs,small The Tote bag,$195,One Size,https://cdn-images.farfetch-contents.com/15/09/59/75/15095975_26052119_480.jpg,-0%,$195
,Paco Rabanne,oversized sequin shoulder bag,$580,One Size,https://cdn-images.farfetch-contents.com/15/23/64/02/15236402_27844388_480.jpg,-0%,$580
,Marc Jacobs,The Snapshot crossbody bag,$295,One Size,https://cdn-images.farfetch-contents.com/16/20/16/92/16201692_32447191_480.jpg,-0%,$295
,Alexander McQueen,croc effect envelope clutch bag,$520,One Size,https://cdn-images.farfetch-contents.com/15/34/10/91/15341091_28072355_480.jpg,-0%,$520
,Alexander Wang,Attica rhinestone belt bag,$888,One Size,https://cdn-images.farfetch-contents.com/15/59/95/62/15599562_28192486_480.jpg,-0%,$888
,Givenchy,small Moon Cut Out shoulder bag,"$1,670",One Size,https://cdn-images.farfetch-contents.com/17/53/53/09/17535309_38008068_480.jpg,-0%,"$1,670"
New Season,STAND STUDIO,Wand faux-leather shoulder bag,$345,One Size,https://cdn-images.farfetch-contents.com/17/01/50/17/17015017_37775671_480.jpg,-0%,$345
,MM6 Maison Margiela,Japanese vegan leather tote bag,$260,One Size,https://cdn-images.farfetch-contents.com/17/15/79/60/17157960_37913717_480.jpg,-0%,$260
,Marc Jacobs,The Snapshot crossbody bag,$350,One Size,https://cdn-images.farfetch-contents.com/17/72/29/70/17722970_37140496_480.jpg,-0%,$350
,Givenchy,4G box bag,"$1,990",One Size,https://cdn-images.farfetch-contents.com/16/99/11/89/16991189_33949836_480.jpg,-0%,"$1,990"
New Season,Alexander Wang,medium Heiress pouch bag,$790,One Size,https://cdn-images.farfetch-contents.com/17/39/09/12/17390912_36355872_480.jpg,-0%,$790
