,ffcollection,Brand,Short_descr,Price,avSizes,img
143,,Jimmy Choo,Bing 100mm crystal-embellished mules,"$1,095",See all sizes,https://cdn-images.farfetch-contents.com/16/08/43/73/16084373_30934365_480.jpg
144,,Salvatore Ferragamo,Varina ballerina shoes,$460,See all sizes,https://cdn-images.farfetch-contents.com/14/11/59/45/14115945_18732055_480.jpg
145,New Season,Alexander McQueen,Oversized studded low-top sneakers,$560,See all sizes,https://cdn-images.farfetch-contents.com/17/77/01/24/17770124_37481841_480.jpg
146,,Valentino Garavani,VLOGO ankle boots ,"$1,350",See all sizes,https://cdn-images.farfetch-contents.com/13/83/82/97/13838297_36852400_480.jpg
147,New Season,Chloé,Nama low-top sneakers,$725,See all sizes,https://cdn-images.farfetch-contents.com/17/36/32/81/17363281_37842696_480.jpg
148,,Jimmy Choo,Bing 100mm pointed toe mules,"$1,095",See all sizes,https://cdn-images.farfetch-contents.com/16/77/30/56/16773056_33491226_480.jpg
149,,Jimmy Choo,Ronnie flat mules,$825,See all sizes,https://cdn-images.farfetch-contents.com/17/04/99/55/17049955_34602494_480.jpg
150,,Chloé,x Moon Boot snow boots,"$1,025",See all sizes,https://cdn-images.farfetch-contents.com/16/82/72/10/16827210_38129944_480.jpg
151,,Tory Burch,Minnie Travel leather ballerina shoes,$185,See all sizes,https://cdn-images.farfetch-contents.com/15/96/26/51/15962651_30135722_480.jpg
152,,Valentino Garavani,Rockstud bow sandals,$420,See all sizes,https://cdn-images.farfetch-contents.com/14/78/33/96/14783396_23552790_480.jpg
153,,Castañer,Carina 80mm ankle-tie espadrilles,$120,See all sizes,https://cdn-images.farfetch-contents.com/13/53/97/42/13539742_35895144_480.jpg
154,,Marsèll,Zuccone leather ankle boots,"$1,070",See all sizes,https://cdn-images.farfetch-contents.com/16/36/42/76/16364276_33711333_480.jpg
155,,Tory Burch,Minnie Travel leather ballerina shoes,$185,See all sizes,https://cdn-images.farfetch-contents.com/15/96/26/66/15962666_30087615_480.jpg
156,,Balmain,B-Bold low-top sneakers,$720,See all sizes,https://cdn-images.farfetch-contents.com/14/95/42/37/14954237_28466650_480.jpg
157,,Isabel Marant,Duerto 60mm cowboy boots,$690,See all sizes,https://cdn-images.farfetch-contents.com/15/66/40/18/15664018_30886548_480.jpg
158,,Castañer,Carina 80mm ankle-tie wedge sandals,$85,See all sizes,https://cdn-images.farfetch-contents.com/13/53/97/50/13539750_35781431_480.jpg
159,New Season,Aquazzura,Seduction 105mm crystal-embellished pumps,"$1,250",See all sizes,https://cdn-images.farfetch-contents.com/17/29/85/80/17298580_36957890_480.jpg
160,,Valentino Garavani,Rockstud-embellished ankle boots,"$1,190",See all sizes,https://cdn-images.farfetch-contents.com/16/74/59/63/16745963_34789285_480.jpg
161,,Axel Arigato,Clean 90mm animal-print sneakers,$165,See all sizes,https://cdn-images.farfetch-contents.com/15/35/47/39/15354739_27856229_480.jpg
162,,Off-White,logo print flat slides,$185,See all sizes,https://cdn-images.farfetch-contents.com/16/71/53/91/16715391_35861453_480.jpg
163,New Season,Paris Texas,105mm knee-high boots,$715,See all sizes,https://cdn-images.farfetch-contents.com/17/10/12/33/17101233_34938821_480.jpg
164,New Season,Golden Goose,Slide high-top sneakers,$600,See all sizes,https://cdn-images.farfetch-contents.com/17/57/58/65/17575865_37306935_480.jpg
165,,Givenchy,logo-webbing low-top sneakers,$595,See all sizes,https://cdn-images.farfetch-contents.com/17/32/96/49/17329649_37695948_480.jpg
166,Positively Conscious,Ancient Greek Sandals,Desmos crossover leather sandals,$200,See all sizes,https://cdn-images.farfetch-contents.com/13/44/22/69/13442269_36034689_480.jpg
167,,Manolo Blahnik,Ballerimu pointed-toe mules,$695,See all sizes,https://cdn-images.farfetch-contents.com/16/26/26/77/16262677_33464427_480.jpg
168,,BY FAR,Sofia 65mm leather ankle boots,$440,See all sizes,https://cdn-images.farfetch-contents.com/16/26/03/73/16260373_36855901_480.jpg
169,New Season,GIABORGHINI,x RHW Rosie 11 ankle boots,$585,See all sizes,https://cdn-images.farfetch-contents.com/17/01/91/74/17019174_36517625_480.jpg
170,Positively Conscious,Stella McCartney,Gaia lace-up espadrilles,$535,See all sizes,https://cdn-images.farfetch-contents.com/16/14/83/48/16148348_32801344_480.jpg
171,,MM6 Maison Margiela,Replica low-top sneakers,$400,See all sizes,https://cdn-images.farfetch-contents.com/16/81/62/26/16816226_33296857_480.jpg
172,,The Attico,Venus 105mm glitter-embellished pumps,$755,See all sizes,https://cdn-images.farfetch-contents.com/17/11/21/48/17112148_36482591_480.jpg
173,,Bottega Veneta,Lido maxi 90mm sandals,"$1,300",See all sizes,https://cdn-images.farfetch-contents.com/16/77/78/62/16777862_34160320_480.jpg
174,,Totême,square-toe Chelsea boots,$990,See all sizes,https://cdn-images.farfetch-contents.com/16/80/11/51/16801151_35454236_480.jpg
175,New Season,Moon Boot,Monaco faux-fur boots,$265,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/80/17757380_38064378_480.jpg
176,,Valentino Garavani,Rockstud 85mm wedge espadrilles,$790,See all sizes,https://cdn-images.farfetch-contents.com/16/12/90/12/16129012_30907773_480.jpg
177,,Castañer,black Carina 80 ankle tie wedge sandals ,$135,See all sizes,https://cdn-images.farfetch-contents.com/13/72/26/62/13722662_21621447_480.jpg
178,,VEJA, Nova logo-detail sneakers,$105,See all sizes,https://cdn-images.farfetch-contents.com/15/13/73/60/15137360_35902345_480.jpg
179,Positively Conscious,VEJA,Campo logo-patch sneakers,$145,See all sizes,https://cdn-images.farfetch-contents.com/15/65/13/84/15651384_36078290_480.jpg
180,New Season,NAKED WOLFE,Mercy crystal-embellished sandals,$350,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/00/17757300_37472233_480.jpg
181,,Axel Arigato,Clean 90mm leather sneakers,$245,See all sizes,https://cdn-images.farfetch-contents.com/15/42/61/86/15426186_36921407_480.jpg
182,,Moon Boot,ProTECHt mid snow boots,$225,See all sizes,https://cdn-images.farfetch-contents.com/17/00/49/26/17004926_34194380_480.jpg
